metric1_score_true,sentence_bleu_score_true,sbertSimilarity_score_true
0,0,0.281500608
0,0,0.514992476
0,0,0.456614852
5,0.05,0.46279645
0,0,0.258642942
0,0.083333333,0.538716733
0,0,0.378848672
0,0.076923077,0.496496081
0,0,0.52631706
22.22222222,0.222222222,0.573722005
0,0,0.429000407
8.333333333,0.083333333,0.450233847
0,0.071428571,0.480925024
10,0.1,0.366519809
0,0,0.397606254
0,0,0.494619757
8.333333333,0.083333333,0.504553616
0,0,0.48626852
0,0,0.406491756
22.22222222,0.333333333,0.549960494
12.5,0.125,0.479728252
0,0,0.399332166
0,0,0.470260024
0,0,0.521369755
0,0,0.295193344
0,0,0.328242391
0,0,0.447790056
0,0,0.404186994
16.66666667,0.166666667,0.567205369
0,0,0.518197775
0,0,0.435773432
0,0,0.361926496
8.333333333,0.083333333,0.577251673
0,0,0.412001908
0,0,0.495878279
0,0.076923077,0.400363982
0,0.066666667,0.480287224
0,0,0.446317703
8.333333333,0.083333333,0.423621863
14.28571429,0.142857143,0.592841983
0,0,0.479216605
0,0,0.437442839
0,0,0.433136642
14.28571429,0.142857143,0.597290814
50,0.5,0.774001181
22.22222222,0.222222222,0.651755691
6.666666667,0.066666667,0.404664993
0,0,0.37176618
0,0,0.4208363
0,0,0.367781729
0,0,0.412993878
18.18181818,0.181818182,0.551623285
0,0,0.569780231
0,0,0.386375934
0,0,0.446705818
0,0,0.34000513
